Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
315.55	1.0000	0.077811	12.852	2876.8	4179.0	54.195	10.235	14.361	1352.1	-0.068362	9.2676e-06	0.19312	vapor
316.43	1.0000	0.077595	12.887	2885.8	4191.6	54.235	10.237	14.363	1353.9	-0.068623	9.2852e-06	0.19352	vapor
317.31	1.0000	0.077380	12.923	2894.8	4204.3	54.275	10.240	14.365	1355.8	-0.068882	9.3028e-06	0.19393	vapor
318.19	1.0000	0.077166	12.959	2903.8	4216.9	54.315	10.242	14.368	1357.6	-0.069138	9.3204e-06	0.19434	vapor
319.07	1.0000	0.076953	12.995	2912.8	4229.6	54.354	10.244	14.370	1359.4	-0.069394	9.3380e-06	0.19474	vapor
319.95	1.0000	0.076741	13.031	2921.9	4242.2	54.394	10.247	14.372	1361.3	-0.069647	9.3556e-06	0.19515	vapor
320.83	1.0000	0.076531	13.067	2930.9	4254.8	54.433	10.249	14.374	1363.1	-0.069899	9.3731e-06	0.19559	vapor
321.71	1.0000	0.076322	13.102	2939.9	4267.5	54.473	10.251	14.377	1364.9	-0.070148	9.3907e-06	0.19604	vapor
322.59	1.0000	0.076114	13.138	2948.9	4280.1	54.512	10.253	14.379	1366.7	-0.070396	9.4082e-06	0.19649	vapor
323.47	1.0000	0.075907	13.174	2957.9	4292.8	54.551	10.255	14.381	1368.6	-0.070643	9.4257e-06	0.19694	vapor
324.35	1.0000	0.075701	13.210	2967.0	4305.5	54.590	10.257	14.383	1370.4	-0.070887	9.4432e-06	0.19739	vapor
325.23	1.0000	0.075496	13.246	2976.0	4318.1	54.629	10.259	14.385	1372.2	-0.071130	9.4607e-06	0.19784	vapor
326.11	1.0000	0.075292	13.282	2985.0	4330.8	54.668	10.262	14.387	1374.0	-0.071371	9.4781e-06	0.19829	vapor
326.99	1.0000	0.075090	13.317	2994.1	4343.4	54.707	10.264	14.389	1375.8	-0.071611	9.4956e-06	0.19874	vapor
327.87	1.0000	0.074888	13.353	3003.1	4356.1	54.745	10.266	14.391	1377.6	-0.071849	9.5130e-06	0.19919	vapor
328.75	1.0000	0.074688	13.389	3012.1	4368.8	54.784	10.267	14.393	1379.4	-0.072085	9.5304e-06	0.19964	vapor
329.63	1.0000	0.074489	13.425	3021.2	4381.4	54.823	10.269	14.395	1381.2	-0.072320	9.5478e-06	0.20009	vapor
330.51	1.0000	0.074291	13.461	3030.2	4394.1	54.861	10.271	14.397	1383.0	-0.072553	9.5652e-06	0.20054	vapor
331.39	1.0000	0.074093	13.496	3039.2	4406.8	54.899	10.273	14.399	1384.8	-0.072784	9.5825e-06	0.20098	vapor
332.27	1.0000	0.073897	13.532	3048.3	4419.4	54.937	10.275	14.400	1386.6	-0.073014	9.5999e-06	0.20142	vapor
333.15	1.0000	0.073702	13.568	3057.3	4432.1	54.975	10.277	14.402	1388.4	-0.073243	9.6172e-06	0.20186	vapor
334.03	1.0000	0.073508	13.604	3066.4	4444.8	55.013	10.278	14.404	1390.2	-0.073469	9.6345e-06	0.20230	vapor
334.91	1.0000	0.073315	13.640	3075.4	4457.5	55.051	10.280	14.406	1392.0	-0.073695	9.6518e-06	0.20274	vapor
335.79	1.0000	0.073123	13.676	3084.5	4470.1	55.089	10.282	14.407	1393.8	-0.073918	9.6691e-06	0.20319	vapor
336.67	1.0000	0.072932	13.711	3093.5	4482.8	55.127	10.284	14.409	1395.6	-0.074141	9.6864e-06	0.20363	vapor
337.55	1.0000	0.072742	13.747	3102.6	4495.5	55.164	10.285	14.411	1397.4	-0.074361	9.7036e-06	0.20407	vapor
338.43	1.0000	0.072553	13.783	3111.6	4508.2	55.202	10.287	14.412	1399.2	-0.074581	9.7209e-06	0.20451	vapor
339.31	1.0000	0.072365	13.819	3120.7	4520.9	55.239	10.288	14.414	1401.0	-0.074798	9.7381e-06	0.20495	vapor
340.19	1.0000	0.072177	13.855	3129.7	4533.6	55.277	10.290	14.415	1402.8	-0.075015	9.7553e-06	0.20539	vapor
341.07	1.0000	0.071991	13.891	3138.8	4546.2	55.314	10.292	14.417	1404.5	-0.075230	9.7725e-06	0.20584	vapor
341.95	1.0000	0.071806	13.926	3147.8	4558.9	55.351	10.293	14.418	1406.3	-0.075443	9.7897e-06	0.20628	vapor
342.83	1.0000	0.071622	13.962	3156.9	4571.6	55.388	10.295	14.420	1408.1	-0.075655	9.8068e-06	0.20672	vapor
343.71	1.0000	0.071439	13.998	3166.0	4584.3	55.425	10.296	14.421	1409.9	-0.075866	9.8240e-06	0.20716	vapor
344.59	1.0000	0.071256	14.034	3175.0	4597.0	55.462	10.297	14.423	1411.7	-0.076075	9.8411e-06	0.20760	vapor
